account_id,customer_id,account_type,account_status,open_date,current_balance
1,5149,Salary,Active,2022-10-07,11422.54
2,1933,Savings,Dormant,2026-02-18,23460.29
3,2041,Savings,Active,2024-04-10,62034.15
4,7935,Savings,Active,2023-02-09,41429.16
5,8334,Savings,Dormant,2022-11-26,38547.45
6,6790,Savings,Dormant,2023-01-14,3450.71
7,5776,Savings,Active,2025-06-20,11875.12
8,9001,Savings,Active,2023-11-04,25035.84
9,948,Salary,Active,2024-01-23,17787.52
10,766,Salary,Active,2025-10-05,13037.96
11,7173,Salary,Active,2024-10-01,9272.19
12,5016,Current,Active,2023-09-26,59046.7
13,9131,Savings,Active,2025-01-20,30915.87
14,2497,Savings,Active,2022-12-25,52828.18
15,3563,Current,Active,2025-09-05,235713.87
16,1263,Savings,Active,2021-10-07,3421.69
17,6394,Savings,Active,2021-08-13,28640.44
18,5051,Savings,Active,2023-02-22,17394.52
19,5411,Savings,Active,2024-01-25,71481.73
20,543,Savings,Active,2022-05-17,59354.78
21,6665,Savings,Dormant,2021-09-22,19031.23
22,7724,Salary,Active,2024-09-10,25208.25
23,2782,Savings,Active,2023-04-10,61157.86
24,2613,Savings,Active,2025-02-27,45315.23
25,1200,Savings,Active,2021-07-14,136781.09
26,7033,Salary,Active,2026-01-05,28843.65
27,6324,Savings,Dormant,2023-06-03,15800.77
28,4689,Savings,Active,2023-08-09,9226.38
29,4787,Savings,Active,2026-02-18,27095.41
30,3682,Savings,Active,2023-12-30,8657.28
31,5230,Savings,Active,2023-06-15,24804.62
32,3496,Savings,Active,2023-12-24,124622.93
33,8857,Savings,Active,2025-03-23,58366.31
34,6079,Savings,Dormant,2022-10-12,5591.01
35,3163,Savings,Active,2024-04-09,3536.08
36,1417,Savings,Closed,2023-12-06,4000.3
37,3109,Savings,Active,2025-10-03,12161.19
38,8709,Current,Active,2022-07-05,15860.97
39,9042,Salary,Active,2025-03-21,67462.52
40,7830,Savings,Active,2023-12-02,49307.74
41,908,Savings,Dormant,2026-01-31,39014.44
42,8508,Salary,Active,2025-05-06,12026.82
43,7574,Current,Closed,2024-02-18,12540.33
44,9700,Salary,Active,2024-08-04,11239.46
45,9711,Savings,Active,2023-11-28,89583.14
46,1935,Savings,Active,2026-03-09,11839.11
47,5952,Salary,Active,2021-08-01,5066.98
48,4345,Savings,Active,2026-03-16,18555.84
49,7427,Savings,Active,2023-12-02,104572.07
50,9994,Current,Active,2022-11-14,20560.56
