ticket_id,customer_id,issue_type,created_at,resolved_at,satisfaction_score
1,1008,UPI Failure,2024-12-02 21:10:50.980450,2024-12-08 21:10:50.980450,2
2,5422,Loan Query,2025-11-30 12:11:12.916333,2025-12-01 12:11:12.916333,1
3,7933,Card Issue,2024-09-06 00:22:32.051517,2024-09-10 00:22:32.051517,1
4,775,Card Issue,2025-11-11 04:23:52.790794,2025-11-23 04:23:52.790794,2
5,5086,Card Issue,2024-10-29 01:20:27.353966,2024-11-05 01:20:27.353966,4
6,9348,UPI Failure,2025-01-15 00:53:43.416756,2025-01-25 00:53:43.416756,1
7,6896,Account Access,2025-05-08 11:06:17.922630,2025-05-13 11:06:17.922630,1
8,1721,Fraud Complaint,2025-11-29 12:44:08.823025,2025-12-08 12:44:08.823025,
9,7627,Account Access,2024-07-05 01:06:32.340756,2024-07-07 01:06:32.340756,5
10,2024,Account Access,2026-06-16 15:11:27.458560,2026-06-22 15:11:27.458560,1
11,1672,Card Issue,2026-06-07 19:13:01.200944,2026-06-18 19:13:01.200944,
12,7107,Account Access,2026-05-28 04:36:25.032185,2026-06-02 04:36:25.032185,1
13,4578,UPI Failure,2024-11-20 20:25:19.076921,2024-12-04 20:25:19.076921,4
14,9876,Card Issue,2026-05-11 06:24:41.153270,2026-05-14 06:24:41.153270,1
15,8220,Account Access,2025-08-08 12:17:17.653029,2025-08-13 12:17:17.653029,3
16,3120,Fraud Complaint,2024-12-14 10:13:32.524884,2024-12-22 10:13:32.524884,2
17,3091,Card Issue,2025-10-28 20:53:58.132086,2025-11-03 20:53:58.132086,4
18,5063,UPI Failure,2025-01-20 12:14:21.745272,2025-01-31 12:14:21.745272,
19,7696,UPI Failure,2026-04-04 19:21:58.259864,2026-04-05 19:21:58.259864,3
20,1942,Fraud Complaint,2026-02-02 04:14:03.672678,2026-02-03 04:14:03.672678,2
21,1318,Fraud Complaint,2024-08-24 22:47:38.793818,2024-09-01 22:47:38.793818,4
22,799,Card Issue,2024-09-06 07:20:03.850677,2024-09-03 07:20:03.850677,5
23,3166,Account Access,2024-12-03 07:11:58.204909,2024-12-06 07:11:58.204909,3
24,440,Card Issue,2025-04-06 11:53:11.748811,2025-04-08 11:53:11.748811,3
25,4750,Loan Query,2026-01-04 13:24:41.830487,2026-01-17 13:24:41.830487,1
26,6333,Fraud Complaint,2024-11-08 12:39:23.753567,2024-11-09 12:39:23.753567,5
27,304,Loan Query,2025-02-26 15:10:18.497351,2025-03-08 15:10:18.497351,2
28,7663,Loan Query,2025-05-08 23:40:26.137926,2025-05-11 23:40:26.137926,2
29,3087,Fraud Complaint,2025-03-04 21:39:55.872444,2025-03-15 21:39:55.872444,
30,1249,Loan Query,2026-06-15 07:57:16.377511,2026-06-22 07:57:16.377511,5
31,2657,Loan Query,2025-06-23 20:41:27.113253,2025-07-02 20:41:27.113253,3
32,1467,Loan Query,2025-06-02 08:21:42.153288,2025-06-05 08:21:42.153288,1
33,4378,Fraud Complaint,2024-11-22 18:01:49.222282,2024-11-19 18:01:49.222282,4
34,9121,Card Issue,2026-04-07 02:14:04.069737,2026-04-15 02:14:04.069737,2
35,1838,UPI Failure,2026-03-25 10:31:01.021726,2026-04-08 10:31:01.021726,5
36,8275,Card Issue,2025-05-15 18:54:58.058774,2025-05-25 18:54:58.058774,2
37,281,Loan Query,2025-11-24 06:01:09.608500,2025-12-07 06:01:09.608500,4
38,2726,Fraud Complaint,2025-11-13 12:52:09.203151,2025-11-23 12:52:09.203151,4
39,7468,Card Issue,2025-05-10 03:41:58.466771,2025-05-13 03:41:58.466771,5
40,6216,Loan Query,2025-11-18 22:06:56.324990,2025-11-24 22:06:56.324990,2
41,5896,Loan Query,2025-02-20 15:12:38.290489,2025-02-23 15:12:38.290489,
42,1414,Card Issue,2025-12-30 06:38:27.416646,2026-01-07 06:38:27.416646,3
43,875,UPI Failure,2024-10-24 21:34:56.219716,2024-10-27 21:34:56.219716,2
44,7721,Card Issue,2026-05-26 12:10:19.514721,2026-05-30 12:10:19.514721,3
45,2521,Loan Query,2025-05-16 10:25:43.975600,2025-05-23 10:25:43.975600,5
