loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status
1,4380,Auto,831315.31,12.53,Active
2,5182,Auto,4222557.71,12.91,Closed
3,6429,Auto,3270789.39,16.0,Active
4,9777,Personal,3562503.51,10.03,Active
5,9285,Personal,4167188.98,11.42,Active
6,2356,Education,2587424.58,9.94,Defaulted
7,263,Personal,3891789.87,12.41,Active
8,2021,Home,3174602.16,7.09,Active
9,4179,Personal,299971.6,13.78,Closed
10,2600,Auto,735093.46,7.91,Defaulted
11,1146,Education,2744339.42,12.36,Defaulted
12,3347,Home,3914852.53,9.78,Active
13,6151,Auto,3162275.46,10.25,Closed
14,2749,Education,2224302.55,17.49,Active
15,4032,Home,93427.8,14.08,Active
16,8328,Personal,3165255.39,9.82,Defaulted
17,2380,Home,3101363.94,14.09,Active
18,908,Education,1814097.75,17.06,Active
19,8227,Personal,3466859.53,11.5,Closed
20,9570,Education,2728171.05,14.45,Active
21,9808,Home,2535996.22,14.05,Active
22,3444,Home,2882592.54,15.42,Active
23,7592,Personal,2294465.81,13.8,Active
24,3125,Education,993603.55,8.57,Closed
25,1144,Auto,2783490.56,8.8,Defaulted
26,7180,Personal,2674132.23,8.28,Closed
27,4812,Home,417169.97,13.63,Closed
28,2166,Personal,4266112.81,12.2,Active
29,6900,Education,3977310.01,12.45,Active
30,6728,Home,1369638.97,11.66,Active
31,2012,Home,4390869.52,9.06,Active
32,4299,Auto,4304395.24,14.56,Active
33,8076,Home,4910843.11,13.8,Active
34,2136,Personal,4478082.91,17.26,Active
35,9344,Education,3622471.23,9.42,Active
36,1116,Education,4630825.3,11.29,Active
37,3776,Auto,1027027.78,9.83,Closed
38,9235,Auto,4597703.7,8.56,Closed
39,7765,Home,288098.31,15.2,Defaulted
40,2099,Personal,3104798.74,14.43,Closed
41,4213,Education,4372702.33,7.71,Active
42,1619,Home,3053550.69,16.56,Active
43,8257,Auto,774529.9,8.34,Active
44,8660,Education,2160460.05,13.8,Active
45,5791,Personal,985275.67,17.06,Defaulted
46,5556,Personal,4077775.48,10.03,Defaulted
47,9027,Personal,2122490.34,9.06,Active
48,1451,Auto,1444710.57,12.39,Closed
49,8468,Personal,3832316.43,14.87,Active
50,4853,Education,4367473.32,11.52,Active
51,5983,Education,4477166.1,15.27,Active
52,5226,Auto,2292965.32,15.24,Active
53,7939,Personal,3727044.64,7.47,Closed
54,7533,Auto,2903709.48,11.88,Closed
55,1009,Home,1818302.52,8.08,Active
56,6480,Home,4655186.94,12.45,Active
57,4947,Auto,500101.46,12.4,Active
58,5577,Auto,3310193.4,12.21,Defaulted
59,7466,Personal,2527939.49,12.05,Closed
60,2117,Auto,1327553.42,15.44,Active
61,6238,Home,1556570.65,8.1,Active
62,4718,Personal,4213525.55,10.49,Active
63,4020,Education,3243902.52,14.92,Defaulted
64,9930,Personal,1150720.32,7.86,Defaulted
65,726,Education,2351026.35,7.76,Active
66,3047,Home,2871368.12,12.41,Defaulted
67,1746,Home,735919.5,16.69,Active
68,3368,Home,897009.83,15.67,Defaulted
69,8252,Auto,2347005.66,13.58,Closed
70,5027,Auto,4932772.86,11.11,Active
71,421,Personal,1299233.49,9.89,Active
72,2967,Auto,2538285.98,14.65,Active
73,3079,Personal,3677152.81,15.35,Active
74,8295,Home,3363589.22,12.53,Active
75,8548,Personal,3949867.9,17.65,Active
76,435,Personal,1497303.62,9.09,Closed
77,9330,Personal,2904040.92,10.33,Active
78,4608,Home,1188695.51,7.9,Defaulted
79,6133,Auto,331016.1,14.12,Active
80,2534,Home,1031716.64,12.84,Active
81,1939,Personal,3462421.8,15.14,Active
